indice_tiempo,auh
2009-11-01,180.0
2009-12-01,180.0
2010-01-01,180.0
2010-02-01,180.0
2010-03-01,180.0
2010-04-01,180.0
2010-05-01,180.0
2010-06-01,180.0
2010-07-01,180.0
2010-08-01,180.0
2010-09-01,220.0
2010-10-01,220.0
2010-11-01,220.0
2010-12-01,220.0
2011-01-01,220.0
2011-02-01,220.0
2011-03-01,220.0
2011-04-01,220.0
2011-05-01,220.0
2011-06-01,220.0
2011-07-01,220.0
2011-08-01,220.0
2011-09-01,220.0
2011-10-01,270.0
2011-11-01,270.0
2011-12-01,270.0
2012-01-01,270.0
2012-02-01,270.0
2012-03-01,270.0
2012-04-01,270.0
2012-05-01,270.0
2012-06-01,270.0
2012-07-01,270.0
2012-08-01,270.0
2012-09-01,340.0
2012-10-01,340.0
2012-11-01,340.0
2012-12-01,340.0
2013-01-01,340.0
2013-02-01,340.0
2013-03-01,340.0
2013-04-01,340.0
2013-05-01,340.0
2013-06-01,460.0
2013-07-01,460.0
2013-08-01,460.0
2013-09-01,460.0
2013-10-01,460.0
2013-11-01,460.0
2013-12-01,460.0
2014-01-01,460.0
2014-02-01,460.0
2014-03-01,460.0
2014-04-01,460.0
2014-05-01,460.0
2014-06-01,644.0
2014-07-01,644.0
2014-08-01,644.0
2014-09-01,644.0
2014-10-01,644.0
2014-11-01,644.0
2014-12-01,644.0
2015-01-01,644.0
2015-02-01,644.0
2015-03-01,644.0
2015-04-01,644.0
2015-05-01,644.0
2015-06-01,837.0
2015-07-01,837.0
2015-08-01,837.0
2015-09-01,837.0
2015-10-01,837.0
2015-11-01,837.0
2015-12-01,837.0
2016-01-01,837.0
2016-02-01,837.0
2016-03-01,966.0
2016-04-01,966.0
2016-05-01,966.0
2016-06-01,966.0
2016-07-01,966.0
2016-08-01,966.0
2016-09-01,1103.0
2016-10-01,1103.0
2016-11-01,1103.0
2016-12-01,1103.0
2017-01-01,1103.0
2017-02-01,1103.0
2017-03-01,1246.0
2017-04-01,1246.0
2017-05-01,1246.0
2017-06-01,1246.0
2017-07-01,1246.0
2017-08-01,1246.0
2017-09-01,1412.0
2017-10-01,1412.0
2017-11-01,1412.0
2017-12-01,1412.0
2018-01-01,1412.0
2018-02-01,1412.0
2018-03-01,1493.0
2018-04-01,1493.0
2018-05-01,1493.0
2018-06-01,1578.0
2018-07-01,1578.0
2018-08-01,1578.0
2018-09-01,1684.0
2018-10-01,1684.0
2018-11-01,1684.0
2018-12-01,1816.0
2019-01-01,1816.0
2019-02-01,1816.0
2019-03-01,2652.0
2019-04-01,2652.0
2019-05-01,2652.0
2019-06-01,2652.0
2019-07-01,2652.0
2019-08-01,2652.0
2019-09-01,2652.0
2019-10-01,2652.0
2019-11-01,2652.0
2019-12-01,2746.0
2020-01-01,2746.0
2020-02-01,2746.0
2020-03-01,3102.98
2020-04-01,3102.98
2020-05-01,3102.98
2020-06-01,3292.882375999999
2020-07-01,3292.882375999999
2020-08-01,3292.882375999999
2020-09-01,3539.848554199999
2020-10-01,3539.848554199999
2020-11-01,3539.848554199999
2020-12-01,3716.840981909999
